Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
handsetprice,"(-0.001, 10.0]",-0.019069035,0.28332645,-0.38879514,0.023862727,32
handsetprice,"(10.0, 30.0]",-0.0022338969,0.28675726,-0.045713782,0.023862727,32
handsetprice,"(150.0, 500.0]",0.068068326,0.30134878,1.4134377,0.023862727,32
handsetprice,"(30.0, 80.0]",0.019730622,0.2912706,0.40562153,0.023862727,32
handsetprice,"(80.0, 150.0]",0.050942935,0.29775554,1.0541141,0.023862727,32
customercarecalls,"(-0.001, 0.3]",0.015704995,0.2904403,0.32258928,0.02170709,33
customercarecalls,"(0.3, 1.0]",0.0029938882,0.2878277,0.0613302,0.02170709,33
customercarecalls,"(1.0, 2.3]",-0.028778076,0.28135914,-0.5855262,0.02170709,33
customercarecalls,"(2.3, 5.7]",-0.037890077,0.2795204,-0.7694006,0.02170709,33
customercarecalls,"(5.7, 327.3]",-0.040592823,0.27897644,-0.8237958,0.02170709,33
activesubs,"(-0.001, 1.0]",0.016544241,0.29061323,0.33988357,0.020231122,34
activesubs,"(1.0, 2.0]",0.0006640518,0.28735036,0.0135958195,0.020231122,34
activesubs,"(2.0, 53.0]",-0.1460211,0.25827137,-2.8943033,0.020231122,34
outboundcalls,"(-0.001, 1.7]",0.00812455,0.28888056,0.16661584,0.020177284,35
outboundcalls,"(1.7, 5.0]",-0.017059505,0.28373468,-0.34797192,0.020177284,35
outboundcalls,"(13.7, 19.7]",-0.0036672775,0.2864642,-0.075018406,0.020177284,35
outboundcalls,"(19.7, 28.3]",0.001023183,0.2874239,0.020951033,0.020177284,35
outboundcalls,"(28.3, 40.7]",0.0135330055,0.28999287,0.27784705,0.020177284,35
outboundcalls,"(40.7, 64.0]",0.019116988,0.29114392,0.39295256,0.020177284,35
outboundcalls,"(5.0, 8.7]",-0.031373087,0.28083473,-0.6379664,0.020177284,35
outboundcalls,"(64.0, 644.3]",-0.01638127,0.28387251,-0.33418834,0.020177284,35
outboundcalls,"(8.7, 13.7]",-0.012043861,0.2847551,-0.24592876,0.020177284,35
roamingcalls,"(-0.001, 0.1]",-0.008726669,0.28543118,-0.1783222,0.019658046,36
roamingcalls,"(0.1, 0.5]",-0.017360356,0.28367352,-0.35408735,0.019658046,36
roamingcalls,"(0.5, 2.1]",-0.0090424605,0.28536677,-0.18476248,0.019658046,36
roamingcalls,"(2.1, 1112.4]",0.09096662,0.30619156,1.8977165,0.019658046,36
callwaitingcalls,"(-0.001, 0.3]",0.016530514,0.29061043,0.33960342,0.018539544,37
callwaitingcalls,"(0.3, 0.7]",0.0035652418,0.28794482,0.07304251,0.018539544,37
callwaitingcalls,"(0.7, 1.0]",-0.012329098,0.284697,-0.25174022,0.018539544,37
